,R2,MAE,MSE,RMSE
LSTM,-0.020590928329019542,17.202554656238092,406.70522416151147,20.16693393060808
GRU,-8.80760118508799,59.331710722388294,3908.3265662557405,62.51661032282333
Transformer,-11.677436926589312,68.20423326569843,5051.95537595425,71.07710866343854
